gene_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
5aefa2c6f5d04e24f4749010f037074c,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
633e14bc7085f62dee002a81c6276391,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
37647938de75cfe0d48a87399a7ea3b5,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
17fff6d6333caaeb79b20ca30435862f,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
9088cc84130b2981e3010c9713875eb9,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,NA,NA
fe695fadbdb378bc6a4e91118b59aa2e,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,NA,NA
f37624ce87e1c5b07691139d0e1151d2,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,NA,NA
8a21e48536014896acf5658dfbd3e886,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,NA,NA
10e70b5877ea5846fa4f3024b6c40305,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,NA,NA
45867ce96528dcf69a277ad5d1e39381,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,NA,NA
8f560092fb287ac530526b79752d9b60,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,S-BQ2-57 soil group,NA,NA
c35a8f34dc5f943f02683fce6deca71b,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,S-BQ2-57 soil group,NA,NA
b6a6541d8e05a8e351fe3bec89d7f027,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,S-BQ2-57 soil group,NA,NA
168511c220abf46d908b4536cfd2851e,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
4021de9d826ec1273f3e998448b577db,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
c64824d0e3a21f45380c63dcc5f7806c,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,NA
df800c75e1b0ba73facb05518755d19b,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
